Id	ProductId	Дата заказа	Дата доставки	PostId	UserId	Code	StatusId	Count
1	B111C5	10.05.2022	16.05.2022	27	4	811	2	5
2	 T238C7	10.05.2022	16.05.2022	27	4	811	2	7
3	E112C6	11.05.2022	17.05.2022	5		812	2	5
4	 T238C7	11.05.2022	17.05.2022	5		812	2	9
5	M112C8	12.05.2022	18.05.2022	29		813	2	4
6	 L293S9	12.05.2022	18.05.2022	29		813	2	8
7	M294G9	13.05.2022	19.05.2022	10		814	2	6
8	 S384K2	13.05.2022	19.05.2022	10		814	2	1
9	W874J3	14.05.2022	20.05.2022	31	8	815	2	2
10	 Q836H4	14.05.2022	20.05.2022	31	8	815	2	1
11	O947D8	15.05.2022	21.05.2022	32		816	2	4
12	 R983K4	15.05.2022	21.05.2022	32		816	2	1
13	H497J3	16.05.2022	22.05.2022	20		817	2	2
14	 N394K2	16.05.2022	22.05.2022	20		817	2	5
15	X846D3	17.05.2022	23.05.2022	34	5	818	1	1
16	 P495H8	17.05.2022	23.05.2022	34	5	818	1	3
17	V378J3	18.05.2022	24.05.2022	35	9	819	2	2
18	 K284U8	18.05.2022	24.05.2022	35	9	819	2	3
19	N387I8	19.05.2022	25.05.2022	36		820	1	6
20	 I483H3	19.05.2022	25.05.2022	36		820	1	7
