Артикул	Наименование 	UnitId	Стоимость	Размер максимально возможной скидки	ManufacturerId	SupplierId	Категория товара	Действующая скидка	Кол-во на складе	Описание	Изображение
B111C5	Поплин «Розовый жемчуг»	1	8500	5	1	3	2	4	6	Поплин «Розовый жемчуг» шириной 220 см с изображением на ткани — крупные цветы, чайная роза; цветовая гамма: бледно-розовая.	B111C5.JPEG
E112C6	Муслин «Bej»	1	10500	15	2	2	1	3	13	Муслин «Bej» однотонный шириной 140+/-5 см с изображением на ткани — однотонный; цветовая гамма: кофе с молоком.	E112C6.JPG
T238C7	Муслин «Gri»	1	6500	15	1	2	1	2	12	Муслин «Gri» однотонный шириной 140+/-5 см с изображением на ткани — однотонный; цветовая гамма: серая.	T238C7.JPG
M112C8	Бязь детская «Совята»	1	26000	20	2	3	1	2	14	Бязь детская «Совята» шириной 150 см с изображением на ткани — совы; цветовая гамма: бордо, желтая, салатовая.	M112C8.JPG
M294G9	Полотно вафельное «8 марта»	1	5130	5	2	3	3	2	1	Полотно вафельное «8 марта» шириной 50 см с изображением на ткани — белые розы; цветовая гамма: розовая.	M294G9.JPG
N283K3	Сатин «Миндальный» однотонный	1	6500	5	3	3	2	3	7	Сатин «Миндальный» однотонный шириной 250 см с изображением на ткани цветовая гамма: миндаль. 	N283K3.JPG
L293S9	Плюш розовый гладкий	1	30000	40	3	3	1	3	2	Плюш розовый гладкий шириной 180 см с изображением на ткани — однотонный; цветовая гамма: однотонная, розовая.	L293S9.JPG
M398S9	Поплин Мокко	1	1800	15	4	1	2	2	6	Поплин Мокко 220 см шириной 220 см с изображением на ткани — однотонное; цветовая гамма: коричневая, кофе, шоколад.	M398S9.JPG
S384K2	Фланель черная	1	69000	40	1	1	3	4	2	Фланель черная оптом шириной 90 см с изображением на ткани — однотонное; цветовая гамма: черная.	S384K2.JPG
K839K3	Плюш белый в клетку	1	765	5	2	1	1	2	3	Плюш белый в клетку шириной 180 см с изображением на ткани — клетка, однотонный; цветовая гамма: белая, однотонная.	K839K3.JPG 
D938K3	Фланель однотонная светлая	1	1300	10	4	1	3	4	10	Фланель однотонная светлая оптом шириной 90 см с изображением на ткани — однотонное; цветовая гамма: голубая, желтая, розовая, сирень, фисташка.	
R748K3	Поплин Морская волна	1	2300	15	4	1	2	2	6	Поплин Морская волна 220 см шириной 220 см с изображением на ткани — однотонное; цветовая гамма: аквамарин, бирюзовая.	
C384D8	Сатин «Дымчатая роза» однотонный	1	1133	10	2	3	2	3	4	Сатин «Дымчатая роза» однотонный шириной 250 см с изображением на ткани цветовая гамма: розовый зефир.	
F374S8	Фланель рубашечная	1	2100	5	1	3	3	2	5	Фланель рубашечная шириной 150 см с изображением на ткани — клетка; цветовая гамма: светло-коричневая, синий-королевский.	
W874J3	Ткань поплин «Натурель»	1	1600	5	1	1	2	3	9	Ткань поплин «Натурель» шириной 220 см с изображением на ткани — мелкие цветы; цветовая гамма: пепельная, розовая. 	
Z937S2	Поплин Голубой	1	9000	10	1	3	2	2	15	Поплин Голубой 220 см шириной 220 см с изображением на ткани — однотонное; цветовая гамма: голубая.	
Q836H4	Фланель рубашечная	1	1350	5	4	3	3	4	7	Фланель арт 535 рубашечная шириной 150 см с изображением на ткани — клетка; цветовая гамма: светло-коричневая, синий-королевский.	
H483D9	Фланель детская H483D9	1	318	5	3	2	1	2	18	Фланель детская 21212-2 шириной 90 см с изображением на ткани — россыпь звездочек; цветовая гамма: баклажан, оранжевый, розовая.	
O947D8	Ткань для скатертей под рогожку	1	3550	10	4	2	3	3	9	Ткань для скатертей под рогожку «рис 18825» шириной 150 см с изображением на ткани — ромашки, россыпь цветов; цветовая гамма: красная, синяя.	
R983K4	Сатин «Серо-бежевый» однотонный	1	1645	15	2	2	2	2	13	Сатин «Серо-бежевый» однотонный шириной 250 см с изображением на ткани цветовая гамма: серо-бежевая.	
